held_out_topic,n_test_transcripts,n_test_rows,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,brier_multiclass
weight loss,6,148,0.8378378378378378,0.7686546840958606,0.8142762126711764,0.7829423436041083,0.863422245775187,0.8378378378378378,0.8463531809120045,0.23803415248645832
reducing drug use,7,259,0.806949806949807,0.7704121129326047,0.7919339137170021,0.7752097687239032,0.8275499152548333,0.806949806949807,0.8129068201799815,0.2833417211149153
more exercise / increasing activity,7,232,0.7844827586206896,0.770190354717871,0.7829487511883156,0.7738975958481553,0.7977228760511892,0.7844827586206896,0.7884845179874361,0.302041198037751
reducing alcohol consumption,23,873,0.8087056128293242,0.7723627902315694,0.769881135541572,0.7697904258558944,0.8160513392232476,0.8087056128293242,0.8111176283103461,0.3001652695455129
smoking cessation,19,530,0.7679245283018868,0.7558104352569293,0.7548164708053885,0.7537272610849483,0.7743361372151839,0.7679245283018868,0.7693669367429675,0.3341239394485757
taking medicine / following medical procedure,8,231,0.7705627705627706,0.7503246753246753,0.7505457121440515,0.7476647121604044,0.789481081688874,0.7705627705627706,0.777436015267871,0.32743726388678435
asthma management,5,114,0.7543859649122807,0.750787129887214,0.7552489177489178,0.7474768623665683,0.7609591899353308,0.7543859649122807,0.7516210787302119,0.35754699113278127
reducing recidivism,7,654,0.7308868501529052,0.6668806824116889,0.6611192328141757,0.6633802483355894,0.7328013418442191,0.7308868501529052,0.7311854944659052,0.37354820644087566
unidentifiable,5,140,0.8571428571428571,0.654884792626728,0.6430809185347184,0.6488288920056101,0.8770408163265305,0.8571428571428571,0.866832298136646,0.25708788328603166
