context_k,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,brier_multiclass,delta_f1_vs_k0
0,0.7708119218910586,0.728063600289334,0.7257566841694154,0.7266977516948678,0.7690844430508676,0.7708119218910586,0.7697753134477427,0.32645448095187457,0.0
1,0.7780061664953751,0.7369059702411573,0.7303583027345983,0.7327414844378978,0.7728618989075744,0.7780061664953751,0.7748282614854545,0.32138110848376106,0.006043732743029939
3,0.7852004110996916,0.7484154049721645,0.7396621272479758,0.7428098313440421,0.7817419171135558,0.7852004110996916,0.7826194274902295,0.31714081331793487,0.01611207964917427
5,0.7790339157245632,0.7441538927717415,0.7344044963083785,0.7379812023713213,0.7763164231689319,0.7790339157245632,0.7768145463547604,0.3173005968441834,0.011283450676453421
10,0.7769784172661871,0.7456024000286461,0.7306743738782235,0.7358350528097619,0.7745129642932623,0.7769784172661871,0.7743722444716347,0.31915505482751755,0.00913730111489408
