model,outer_runs,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,average_precision_mean,average_precision_std,brier_mean,brier_std
XGBoost,15,0.8845204178537512,0.05462010161080519,0.8498484848484849,0.10670229506314947,0.6977947977947978,0.15021269958581288,0.9162121212121213,0.1126249360924603,0.8481528964862298,0.15582187976674883,0.07186792343854904,0.045812040855355445
Elastic-net logistic regression,15,0.8792022792022791,0.0940698042939248,0.8434848484848485,0.1364660510073056,0.6977108077108077,0.21462684880221342,0.9307575757575758,0.08922079497406869,0.8310324392383215,0.18031969429178002,0.07151603990232519,0.03620302493268024
