draw,delta_source_balanced_macro_f1,delta_source_balanced_brier,delta_source_balanced_log_loss
0,-0.00504992367094,-0.00068647605059,0.00194301298668
1,-0.0108890915806,0.00722766809239,0.0139833872862
2,-0.00351984945248,-0.00361216669265,-0.0078929807833
3,-0.00694572741008,-0.00344437065173,-0.0166527373429
4,-0.00912254804617,0.00771247145684,0.0199915553828
5,0.0018548987672,-0.00308705658855,-0.00106907228504
6,0.00239784267274,-0.00487211410174,-0.0125778584862
7,-0.00308864903352,-0.00488640306813,-0.00573948037476
8,-0.00443743231445,-0.00635620113233,-0.0149687062967
9,-0.00136850703238,-0.00804900153311,-0.00879442325385
10,-0.00148947331254,-0.00241762083945,-0.0083837992519
11,-0.015877965365,0.0202199296989,0.0420938831879
12,-0.00806085364609,0.0029196211418,0.0131723676359
13,0.000856608132089,-0.00439162521306,-0.00225110509557
14,-0.00735897085307,-0.00101351518732,-0.00718277164085
15,-0.00780288866777,0.00579748549933,0.0143562706607
16,-0.0115819243395,0.00158093350017,0.00828901103372
17,-0.0133606740432,-0.00205645106606,-0.00833837824105
18,-0.00169277692991,-0.000435200849352,-0.00791233964199
19,-0.0138701587762,0.00754710803345,0.0136857041601
20,0.00361102500365,-0.0102730325799,-0.0190999112763
21,-0.00300356789244,0.00718893730259,0.0183600420246
22,-0.00859954555024,-0.00424602621427,-0.00995599286078
23,-0.0169033312478,0.0122231395542,0.0330554812633
24,-0.00045410618372,-0.00604161493753,-0.00654200307269
25,-0.00588643736248,0.00331557355223,0.0084063879523
26,-0.0131516111508,0.00310994152595,-0.00123855271965
27,-0.0082314721366,-0.000862635150351,0.00436709266548
28,-0.00400196085542,-0.0022374853396,-0.0076785456041
29,-0.00529619651041,-0.00170694083613,-0.00383152910868
30,-0.0025024450643,-0.00136498590367,-0.00888806612956
31,-0.00793958317967,0.00270941665976,0.00325535512308
32,-0.00708645140904,-0.00312931857655,-0.0140197743743
33,-0.00558864327644,0.000578356433652,0.00276894163924
34,-0.00279367144587,-0.000325137239139,0.00876514891676
35,0.00163560472357,-0.0048899520018,-0.0104925120963
36,-0.00587032216963,-0.00379046275126,-0.00274777024313
37,-0.00816496982495,0.00121821554298,0.00860799443936
38,0.00102001323715,-0.00768177545668,-0.00756660326293
39,-0.00489566626752,-0.00493506532837,-0.00509962784526
40,0.00437704940802,-0.0113831260851,-0.00774322388218
41,-0.00249482459306,0.00364216153461,0.0139618180932
42,-0.00209516066206,-0.00667763800412,-0.0118603406294
43,-0.00456293755551,0.00224871841476,0.0061330512182
44,0.0010268251155,-0.0094820910934,-0.00641127473962
45,-0.00759574017227,-0.000234338774002,-0.00336122811292
46,-0.00602648132146,0.00318308646358,0.0153006881838
47,-0.00558590914885,-0.000128628568838,-0.00101245437676
48,-0.0074958671925,9.64375010146e-05,-0.00206334816677
49,-0.00124772866046,-0.00216167464035,-0.0035988566855
50,-0.00224752892905,-0.00046221026905,0.000107882276497
51,-0.00660278541092,-0.00247306099359,0.00220343570476
52,-0.00406090571127,0.00412998240813,0.00739100254233
53,-0.0144570156098,-0.00186334967242,-0.0117239307817
54,-0.00226346733937,-0.003429380965,-0.000188094587826
55,-0.0061697230799,-0.000389339948615,0.00170717048341
56,-0.00789916735481,0.00102226580181,-0.00670118740846
57,-0.004059380809,-0.00773858950844,-0.0181927081366
58,-0.00155662718291,-0.000762130098835,-0.0027730027674
59,0.000603025306802,-0.00458392255229,0.000293033095844
60,-0.00041683577071,-0.00341771556184,-0.0035021931787
61,-0.00512829358697,-6.12800200152e-05,0.000152511015959
62,0.00226817379998,-0.00643249621243,0.000444090332181
63,-0.00317490231758,-0.00299682466131,-0.000608562811065
64,-0.00601665378942,0.00525299496201,0.0105926702629
65,-0.00155726382948,0.00130758632946,0.00725410488397
66,-0.00336898538984,0.00356149833684,0.00605386017893
67,-0.00530426871344,-0.000327423447212,-0.00932937051315
68,-0.00593317744193,-0.00531712730031,-0.0118293101779
69,-0.00768369226102,0.0089932821593,0.0232861815094
70,-0.011780644647,0.0102814347952,0.0277153481554
71,-0.00460425199713,0.00132852382613,0.00663100107489
72,-0.00672801246745,0.00281530404246,0.000880777440738
73,-0.00790366440086,-0.000433379536828,-0.00587212872354
74,-0.0138951344388,0.00538542291313,-0.00148430797067
75,-0.000614593695189,-0.00438711368702,0.000725758715803
76,0.00186066914966,-0.00254625146486,-0.000438250756054
77,-0.0139370842219,0.00748296262815,0.00725259668501
78,-0.0116998863065,0.00057257842034,-0.00223111758451
79,-0.00941530731797,0.00393109694941,0.0054271695114
80,-0.00777601589089,-0.00870889514612,-0.0261345477479
81,-0.0117417759829,0.00691847323256,0.0241467475426
82,-0.00376877816716,0.00293755108201,0.00901815802375
83,-0.00840068395029,0.00118309123408,0.00118544198972
84,0.000900479945182,-0.00774458619526,-0.0210948720283
85,-0.014871089165,0.0091408082737,0.0161837933566
86,-0.00336133156134,-0.00626289235026,-0.0109836300359
87,-0.00938640646633,0.00430893209725,0.0139487499343
88,-0.00690307277952,0.000958531650904,0.00423595391742
89,-0.00203118390872,-0.00298531034982,-0.0012357098855
90,-0.00437470723777,-0.00385544397857,-0.0042590752086
91,-0.00304683792182,-0.00568747037478,-0.0118937251571
92,0.00565843027191,-0.00969852246729,-0.0104630351705
93,-0.00223274336204,-0.00921258625928,-0.0182999313281
94,-0.00569219579523,-0.00329947296236,-0.00431564048176
95,-0.000650298296818,-0.00327392480826,-0.00239310029941
96,-0.00403922338619,-0.000901712616428,0.00257972595476
97,-0.00843856301312,0.00100503420862,0.00153459936498
98,-0.00577184049138,-0.00334876850976,-0.0104719122076
99,-0.0103813277704,0.0047932600217,0.00833287934455
100,-0.00367802923753,-0.00442792556775,-0.00640456992044
101,-0.0058256476489,-0.000391597002353,-0.00425798385233
102,-0.00367724960522,-0.00322013026085,-0.00748305611248
103,-0.00568872731811,-0.00294105203625,-0.0120547057875
104,-0.000799835307721,-0.00637980021905,0.0015345929738
105,-0.00130053131474,-0.000176975299216,0.00674359043398
106,-0.00656606783246,0.00161088996937,-0.000711488410217
107,-0.012489630722,0.00142287483071,0.00201832090223
108,-0.00901057609278,0.00104299974802,-0.00191392979545
109,-0.00851130121309,0.000709702498488,0.000975188540716
110,-0.00906056298245,0.00441634085416,0.0245010095579
111,0.0023107455556,-0.00685062469609,-0.0107420536512
112,-0.0068232193412,-0.000318318522994,0.0140430888374
113,-0.0103214979148,0.000831848207695,-0.000638861772927
114,0.0021701787025,-0.00234582796794,0.00135720318131
115,-0.00520833414159,-0.00251346889754,-0.000300931898439
116,-0.00902788784859,0.00424351680794,0.00254972471865
117,-0.000816732029057,-0.00193184632182,-0.00754013996118
118,-0.0132374439759,0.0084728301877,0.00635237170353
119,-0.000438055274305,-0.00533708618595,-0.00448202222751
120,-0.00354740370597,-0.00152061762463,0.0079610268462
121,0.00191830036956,-0.00405054290319,0.00718250592861
122,-0.000176523125084,-0.00452254402159,0.0111446253653
123,-0.00677919949561,-0.00122610255894,-0.000308070458365
124,-0.00673057419798,0.00532944643264,0.00881467512279
125,0.00146468803028,-0.00189762651831,0.00989274739721
126,0.00176086663605,-0.00693093351293,-0.0091510971333
127,-0.00529583541249,0.00169677781839,0.00294066746814
128,-0.0131417568253,0.00673259125944,0.000694951955977
129,-0.00774982290716,0.000559507258482,0.000776656966918
130,-0.0114559407462,0.00636016168902,0.0146681007827
131,-0.00775612092506,0.000439751828879,-0.00805889593355
132,0.00357112399467,-0.0065457622311,0.00232585221046
133,-0.00690014245434,0.00192010046147,0.00427655598491
134,-0.00838277891568,-0.00278050888766,0.000295202016437
135,-0.00362766470295,-0.00179873422727,-0.0123433447182
136,-0.0107149462268,0.00288406448194,0.00393343139621
137,-0.00190429026809,0.00269865979652,0.00593522726325
138,-0.00812615784654,-0.00293169623959,-0.00426188938321
139,-0.00227641327521,4.25231287565e-05,0.00255014556263
140,-0.000410539622105,-0.00149743920345,0.000334293136904
141,-0.00287550934532,-0.00556464438692,-0.0152333781754
142,-0.00607885475647,-0.00101916927142,0.00278960162735
143,0.00628682961494,-0.00879469199337,-0.0183296807027
144,-0.00237514571418,-0.0112096239291,-0.0230880918617
145,-0.0145099038562,0.00901639814309,0.0208549335133
146,-0.00138078018851,-0.00247366276027,0.00371808342869
147,-0.00408046979913,-0.00210406895721,-0.000367775876204
148,-0.00771028977151,0.00255425757871,0.00493664259563
149,-0.0137400872013,0.00183855827202,-0.00144966960432
150,-0.00013694099582,-0.00682881929425,-0.000839131063546
151,-0.00486119840214,0.00173451856598,0.00162320825665
152,-0.00397866889605,0.00240551581542,0.00454010373131
153,-0.00639989291136,-0.00552637257772,-0.0151722971845
154,-0.00275054597581,-0.00557572612945,-0.010110649694
155,-0.00120183998721,-0.00180743507996,0.00150451517718
156,-0.00825483919061,-0.00344676978351,-0.00206596051926
157,0.000767544012879,-0.00366444476707,0.00189102865661
158,0.00235603563322,-0.00504352858395,-0.0189335134618
159,-0.00968920156836,0.00771925997868,0.0170883650579
160,-0.00753797117402,-0.00903827717118,-0.0283648417616
161,-0.000611695935198,-0.00250294551176,-0.000872297933766
162,-0.0047803147716,-0.00131934675307,-0.00470086293288
163,-0.00571324950224,0.00247364965614,0.00195700742095
164,-0.0046129806113,-0.00518938617446,-0.0123353023407
165,-0.00509787342381,-0.00251824779389,-0.00521264049
166,-0.00967510812066,0.00396783331918,0.00268170784823
167,-0.000793860305079,-0.00625932519539,-0.0159374960407
168,-0.0113696515537,0.00876966607254,0.0240140242642
169,-0.0107339441126,0.00324998201976,0.0155561959286
170,-0.0148823597562,0.00826831185381,0.0183679522318
171,-0.000213183874747,-0.00575054377222,-0.00709295332767
172,-0.00244346488123,-0.00401245463607,-0.00778312259537
173,-0.00892005941631,0.000826546333442,0.0007422356479
174,0.00170013214518,-0.00432711638831,0.00536133088849
175,-0.0034020824139,-0.00454091237755,-0.0116748594954
176,4.31608614924e-05,-0.00836728394099,-0.00540941748595
177,-0.00780392716646,-0.0009453181363,-0.00212516001051
178,-0.0116868029422,0.00409965380707,0.0103213636339
179,-0.00397581576024,0.00165899765476,0.000774848588325
180,-0.00376103170496,0.0044310275912,0.0103250483885
181,-0.0130296595951,-0.000830725528044,-0.00477911997966
182,-0.00398468904259,-0.0017918975493,-0.00788927998718
183,-0.000443079930212,-0.00254916878843,0.00447153331634
184,-0.00124013628516,-0.00507513317645,-0.00318814163649
185,-0.00414113169837,-0.00121522506576,-0.00113207395673
186,-0.00550142509174,5.6598014177e-06,0.00240437172617
187,0.00155635695163,-0.003692483609,0.00131124214548
188,-0.00151800872081,0.00203736723601,0.000819183912576
189,-0.00548548234007,-0.00452903537998,-0.00154974570874
190,-0.0129843308257,-0.00169884029689,-0.0123551630393
191,-0.0042186548535,-0.0067063831697,-0.011413233128
192,0.00022767899582,-0.00109926583662,0.000291511901263
193,-0.00137191288304,-0.000623987865695,-0.00058940533549
194,0.000650907100129,-0.00302331494185,-0.0140667359027
195,-0.0105994084126,0.00307948520674,0.0120911920399
196,-0.00606145846106,-0.00452050246169,-0.00421007912432
197,-0.00544366043989,-0.00189633032789,-0.00486227121316
198,-0.0105363344553,0.00129603602673,0.000483899194124
199,-0.00497573921094,-0.00110988552009,-0.00237985226704
200,-0.00670368272604,0.00181393634039,0.00680290650771
201,-0.00892778241077,0.00654023900453,0.0102177601878
202,-0.0140448453972,0.000991216658376,-0.00210849182706
203,-0.00221607142781,0.00157161803583,0.00439089974829
204,-0.00332362426129,0.000926141509123,-0.000966590002198
205,-0.00220041002692,-0.00574409457809,-0.00629248457068
206,0.00223435413504,-0.00773758315272,-0.0103337170842
207,-0.00744099329596,-0.00263918478762,-0.0136885170275
208,-0.01056709834,0.00720180021335,0.0183511292789
209,-0.0094327346645,0.00158979716799,0.000889089043976
210,-0.0114149914828,0.00145238029362,0.0058287713154
211,-0.00561610529393,0.00217869800587,0.0020340848714
212,0.00715067526258,-0.0113728129526,-0.0226010456024
213,-0.00422540425862,-0.00229453184911,-0.00023342709125
214,0.00292571519145,-0.00380618843711,-0.00183342373563
215,-0.00708056012099,-0.00578797109038,-0.0143059690995
216,-0.010324516338,-0.00124721090338,-0.00711192287851
217,-0.00106182474552,-0.0113267258989,-0.0202970011966
218,0.00173971518146,-0.00349548544802,-0.00587049501477
219,-0.00909734244472,-0.0032607356865,-0.00632626633588
220,-0.00652821578534,-0.000287196949044,-0.00118609988528
221,-0.00436309428442,0.00195881056957,0.0119738148195
222,-0.011566827498,0.00279565584456,0.00103985422736
223,-0.0027129537523,-0.000880313616872,-0.00208864376892
224,-0.00963516999209,0.0040859441705,0.0138391878446
225,-0.0024076260872,-0.000220354197899,-0.00322833419254
226,-0.0160483930479,0.0153290555819,0.0353405365598
227,-0.0100951193743,0.00316920732548,-0.000390254956042
228,-0.01125565104,0.00429625102479,-0.000976765944696
229,-0.00303260337382,-0.00249633156928,0.00660808291352
230,-0.00292601549236,-0.00319583207442,-0.0130916547157
231,-0.0102939898971,-0.00155945275248,-0.0160649942112
232,-0.000208893787284,-0.00691780410722,-0.0049628836225
233,-0.00789336303263,0.00278282247145,0.0103743485989
234,-0.00943034687555,-0.000392424542596,-0.00123030838498
235,-0.000642285228763,-0.00142140529799,0.00263316056089
236,-0.0119852876505,0.00393939814971,0.0143626684159
237,-0.00229066976541,-0.00586700001815,-0.00896132289599
238,-0.0008214169236,-0.00160887957237,0.00778867314988
239,0.000809352089989,-0.00574072317757,-0.0058624401645
240,-0.00449784909316,-0.00210879325607,0.00158440632618
241,-0.00501308603518,-0.00262541139991,0.000827398440345
242,-0.00523757058026,-0.00165934110053,-0.00520062309692
243,-0.00232642951,-0.00460530072645,-0.00161895701603
244,-0.0102221625928,0.00263166582581,0.000899534247461
245,-0.00359839821132,-0.00561445402151,-0.0114203438757
246,-0.00921609407959,0.0105604128539,0.0245421572083
247,-0.00885877176282,0.00154982274509,0.00991245284514
248,-0.00152758571962,-0.00812869773773,-0.00774613836554
249,-0.00394978719422,-0.0067827813459,-0.0143422747829
250,-0.0093853377636,0.000920358136225,-0.00769581838547
251,-0.00159926926333,-0.00275228480441,0.000584545174233
252,0.000891585167647,-0.00336720517121,-0.000834358526741
253,0.00651450572099,-0.00775552413792,0.00507590172086
254,-0.0118217392053,0.004017143882,0.0099668883452
255,-0.00938933712557,0.0044736551102,0.0126732474632
256,-0.0032554817143,-0.00532447596025,0.00191799958219
257,-0.00482436444173,-0.00240896031702,-0.00726663282377
258,-0.000696119297392,-0.00168446751451,0.00307792408558
259,-0.0016729955112,0.00115056738644,0.00609781420225
260,-0.00812032332181,0.00507110263124,0.0168795545585
261,-0.00600314794848,0.000473041226362,-0.000646219073011
262,-0.00314514845795,0.00140916144209,0.00137152566082
263,-0.0148834319814,0.00457825197819,0.00137519318452
264,-0.00234399014549,-0.00517554030414,-0.0129764373942
265,-7.94218801285e-05,-0.0100971189478,-0.0154403139075
266,0.000173330771102,-0.00407982102464,0.0101177375399
267,-0.00228501801453,0.00206681178502,0.0159674177924
268,-0.010245406713,0.00726723863903,0.0191844995371
269,-0.00654776578956,0.00147669786839,-0.0051579248577
270,-0.0114316861383,0.007244816826,0.00798848886435
271,-0.0037164792662,-7.33812565024e-06,0.0106321607694
272,-0.00698607131112,0.00184523358416,0.0117840006023
273,0.00124961497296,0.000487744566243,0.0107604001132
274,-0.0117960767166,0.00474233063649,-0.00140522954383
275,-0.0145504684421,0.00154274036448,-0.0049494228165
276,-0.00706375461481,-0.000898170263905,0.00303786243682
277,-0.00449185617828,-0.00298800590599,0.00585967851281
278,-0.00187298785276,-0.00306046500785,-0.000936604722915
279,-0.00199902235512,-0.00368635620806,-0.00385714345008
280,-0.00102551621546,-0.00246172010629,-0.0089647302719
281,-0.000646905220759,-0.00449059954903,-0.00959736491395
282,0.00166781609466,-0.00316882334996,0.00688449420069
283,-0.0126390578991,0.00176146622343,-0.00675023781765
284,-0.000204192552715,-0.00331803066627,-0.0122740831315
285,-0.0062772487178,0.000106969359671,0.00399050545002
286,-0.00438544171491,-0.000576634975544,-0.00918610632853
287,-0.000697116881006,-0.000839487910182,0.000988478459036
288,0.0013050278648,-0.00821084470503,-0.0105126701704
289,-0.000435171561149,-0.00536995924949,-0.00705806102841
290,-0.0158101914151,0.00809750989669,0.0103519122884
291,0.00431613899468,-0.00948127824386,-0.0260317469282
292,-0.0137418005997,0.0008737383975,-0.00294976488044
293,-0.00710131273479,0.00828221392783,0.0253365889476
294,-0.00420364206369,-0.0014258979256,-0.00150966003117
295,-0.00588318998554,0.000618325957048,0.0100207727554
296,-0.00859385464738,0.000873816023115,0.00456850799436
297,-0.00790941796804,0.000955949261875,0.00224710984826
298,-0.00896479807889,0.00134011586864,0.00874017929343
299,-0.00728497839208,0.000263641653343,0.00335346356945
300,-0.00754433746682,0.000741548036198,-0.00516884290827
301,-0.00319164734438,-0.00264296684586,-0.00372260152969
302,-0.00534115333447,-0.0018571728405,-0.00730325992205
303,-0.004898425657,0.00289831887653,0.00527418067602
304,-4.60921654929e-05,-0.00458430241587,-0.000600686680142
305,-0.00765934061283,0.00108167462888,-0.0111381210521
306,-0.00108439609894,-0.00344521663189,-0.00393854594762
307,0.00179098994276,-0.00730301239954,-0.0139133109981
308,-0.0013577503107,-0.00872958159279,-0.0130712853961
309,-0.0047961592436,-0.00259261068189,0.000400557506251
310,-0.00362714628566,-0.00571437247119,-0.0218034647934
311,-0.00973507014733,0.00853006225319,0.0160211053215
312,-0.00121852617258,-0.00506232339189,-0.016080873975
313,-0.00425269304915,-0.00842982647583,-0.019249497388
314,-0.000453159150733,-0.00333920258006,-0.00139082418136
315,-0.00413451272411,-0.00317260003342,-0.00561659938444
316,-0.00498680542213,-0.00795831060759,-0.013953613406
317,-0.00200641919016,-0.00185873915628,0.00672236251803
318,0.00449135766411,-0.00412257092885,-0.0131528484903
319,-0.00247912696717,-0.0010706188609,-0.00698171076412
320,-0.00639579484514,-0.000159887697269,0.00266997780141
321,-0.00846148957963,0.000830573960273,-0.00558838402711
322,-0.00811253540722,-0.00582892089734,-0.0124782366011
323,-0.00142699283958,-0.00218225200238,0.00493799257277
324,-0.0104219388477,-0.00616573337353,-0.011237617892
325,-0.00181968947927,-0.00178306476276,0.00341561196564
326,-0.011967476139,0.00342682504164,0.00230999648326
327,-0.0174005445003,0.00974580771342,0.0247119099869
328,0.000994470746953,-0.0030921622833,0.00390644224815
329,-0.00697394378572,0.00700008792408,0.0257150595669
330,-0.00331502208891,-0.00229373012335,0.00518773993786
331,-0.0142555543011,0.000981209009811,0.00427794984426
332,-0.012588866174,0.000870683315122,0.0051182043033
333,-0.00213675594534,-0.00173293860854,0.00256534031125
334,-0.000925340509396,-0.0106855966438,-0.02259616366
335,-0.00496647840407,0.00289635896889,0.0132676860637
336,0.00453996265081,-0.0081462247702,-0.00357277977521
337,-0.00316558218844,0.000384211256872,0.00872400308659
338,-0.00971033032907,0.00178828865254,0.00542789480245
339,-0.00503472730068,-0.000975902402279,-0.0120666389736
340,-0.00166064870564,-0.00083535301509,-0.00273251118878
341,-0.00629549003889,0.00458511456527,0.0182414260119
342,-0.00404517383104,-0.00587325491951,-0.00813384187833
343,-0.00296032684742,-0.000515230161131,0.00790964794788
344,0.000169109136773,-0.00373425803196,-0.00103226648523
345,-0.00745264625638,-0.00309472533552,-0.00440282026646
346,0.000598608620573,-0.00598804290349,-0.00800120470818
347,-0.00613391824419,-0.00125005611561,-0.00533759474244
348,0.00124608383321,-0.00166163255781,0.00080385423177
349,-0.001580228996,-0.0064268158587,-0.0175587187417
350,-0.00856875719062,0.00753893346324,0.0196596443476
351,-0.0065956431949,0.000911587916054,0.00711471894008
352,-0.00224699056559,0.00775461636389,0.0106012633455
353,-0.00495234486393,0.00574407927004,0.0134172888817
