source_id,support,baseline_macro_f1,candidate_macro_f1,delta_macro_f1,baseline_accuracy,candidate_accuracy,delta_accuracy,baseline_brier,candidate_brier,delta_brier
093c82fd2197f13c9cdbf2150b89b7a4fa6b1bd0b674db97725c2c7c8bd1dd88,38,0.791216216216,0.813835725678,0.0226195094616,0.815789473684,0.842105263158,0.0263157894737,0.315578846207,0.270005916241,-0.0455729299654
0975c479310c006373f337dd0ad7a1b5438b2d205e3489d9920c6e86e5fdbc46,27,0.387037037037,0.378205128205,-0.00883190883191,0.592592592593,0.62962962963,0.037037037037,0.588371084982,0.532820908491,-0.0555501764907
0b66f0012a6499ae22a3ba3ea556348c4d65f1f039265ec21e4ad82aba2b5dab,15,0.761904761905,0.761904761905,0,0.733333333333,0.733333333333,0,0.485403911796,0.532182047256,0.0467781354598
0db9538e9215952f48324bd5b01c66c9eb8ea9adc87245da9db1df8c42a6ab8c,191,0.566789338338,0.588369993643,0.0215806553052,0.685863874346,0.675392670157,-0.0104712041885,0.453762366269,0.470828132213,0.0170657659438
16ad8c075416a1640a523d8697d580ecb71be79a914d2b7439592eef75b54a0e,31,0.665433477593,0.639097744361,-0.0263357332323,0.870967741935,0.838709677419,-0.0322580645161,0.161952598906,0.231320510273,0.069367911367
1837300a58fa97fb00235849e610a9e6fc97376558ae1b2b3a001a60fbe9de12,54,0.770815572606,0.755693581781,-0.0151219908253,0.851851851852,0.851851851852,0,0.261654336776,0.271117941326,0.00946360454965
191639dd25fcde7c7a679eb592d24f8b509b2039411c660a67c8a93f8157923d,30,0.61461038961,0.539743589744,-0.0748667998668,0.666666666667,0.566666666667,-0.1,0.504433658248,0.52519706363,0.0207634053824
1b9abf33ba8b2badfab01f2ee1f7aa958800a9808d579c0ec4e6bc41eb27f449,33,0.779166666667,0.751136363636,-0.0280303030303,0.909090909091,0.878787878788,-0.030303030303,0.15682765144,0.177891989321,0.0210643378813
1bde13dd287e1e51682c574ddf4bc7a1b95d777f9e1d189232f7bf3f72b39469,47,0.684149184149,0.703125,0.0189758158508,0.765957446809,0.787234042553,0.0212765957447,0.389702593378,0.328541306053,-0.0611612873256
1eedaddcb6cc7541fe6072dba97705385a99667255dae60b62dce68c593bc746,20,0.25,0.24358974359,-0.00641025641026,1,0.95,-0.05,0.000869558741103,0.0449009941861,0.044031435445
242385d41a2f2e2c7cf667f3555e67d2393f27bebfb58a47237bcb1fe3ddc21f,15,0.866666666667,0.866666666667,0,0.933333333333,0.933333333333,0,0.0981019543585,0.124869785149,0.0267678307909
2523640a662b9aab8fa56e40699e7726fd765a9ae7ecdc36a012e3ad8211a245,5,0.380952380952,0.380952380952,0,0.8,0.8,0,0.330439524881,0.334338895996,0.00389937111513
256a5ceb1fe87b9f23a66a55206039faf214b9b926fbe72aba2fd158983b62bf,26,0.581349206349,0.636904761905,0.0555555555556,0.615384615385,0.653846153846,0.0384615384615,0.58404741787,0.537153096597,-0.0468943212731
25e8b5e04642d3980ac38e4c1a2adc2fda059b625ba4b1d1523d13ecc5903774,46,0.762171265267,0.775724275724,0.013553010457,0.782608695652,0.804347826087,0.0217391304348,0.329108905479,0.348658905294,0.0195499998141
