draw,delta_source_balanced_macro_f1,delta_source_balanced_brier,delta_source_balanced_log_loss
0,0.0981092154271,-0.114592244414,-0.218326602602
1,0.09861178123,-0.107657071344,-0.199538348515
2,0.0974484362293,-0.0993250942713,-0.184225690298
3,0.0990728316724,-0.117269370367,-0.230217013223
4,0.098694602021,-0.115526981886,-0.206268986433
5,0.0840501923703,-0.0983604303269,-0.188230115567
6,0.096407300401,-0.107186151319,-0.206129167148
7,0.0846558563429,-0.105481481132,-0.211624592136
8,0.0892450266635,-0.115826613433,-0.218554041869
9,0.10083050831,-0.123168746656,-0.228277576714
10,0.107025644894,-0.124462378833,-0.228338467332
11,0.0791294224888,-0.0900626673956,-0.175824390972
12,0.0893893026053,-0.110635096845,-0.205990931676
13,0.0901991524168,-0.0996732574287,-0.185096828477
14,0.102118825628,-0.11303803031,-0.219585480124
15,0.0912352438821,-0.115119704529,-0.213381408103
16,0.091145536689,-0.112236749837,-0.210856965432
17,0.0817659637974,-0.101965874272,-0.190412157516
18,0.0978584963497,-0.124313576277,-0.241294880022
19,0.107576975765,-0.126012247235,-0.226191481574
20,0.0925688959427,-0.111910050484,-0.211689977436
21,0.0894022704134,-0.100019756567,-0.185828179385
22,0.097349318444,-0.118463178929,-0.223224795939
23,0.0802657566489,-0.0850888251291,-0.15605739875
24,0.0919048532714,-0.110653918153,-0.208245563559
25,0.093079157468,-0.105233385677,-0.19944272022
26,0.102740717571,-0.119463223165,-0.211158069017
27,0.0914724930065,-0.107713332742,-0.183550444613
28,0.105250887501,-0.132951522614,-0.247146500948
29,0.0862576642993,-0.105645970764,-0.211691431055
30,0.0928984421209,-0.102371376881,-0.189151719325
31,0.0897079695279,-0.104788511821,-0.188098592619
32,0.0926422754234,-0.121301496735,-0.241206799288
33,0.100077959535,-0.113672984643,-0.21760537877
34,0.084185927478,-0.103380848266,-0.187375738188
35,0.0916596799034,-0.113768551541,-0.215328027176
36,0.091427189655,-0.10711825925,-0.205132720126
37,0.0978781027173,-0.120730798604,-0.212918792202
38,0.0963974441653,-0.117166285374,-0.221760247382
39,0.0937808247508,-0.114932864592,-0.207334641004
40,0.102677321168,-0.113553166936,-0.213430910588
41,0.0985503478259,-0.108506392714,-0.197720237633
42,0.0818735038901,-0.0993554320603,-0.191298031331
43,0.0873890392015,-0.104430857163,-0.20066612287
44,0.090650222705,-0.0984690062945,-0.183581544914
45,0.107048625716,-0.136442533431,-0.255597672762
46,0.0883014815466,-0.0977542918862,-0.182687352435
47,0.0871460091658,-0.110950836717,-0.202391506999
48,0.0909712918294,-0.111509351555,-0.208471141796
49,0.107791738428,-0.120181087222,-0.210812845476
50,0.09602758617,-0.120088343359,-0.227186032498
51,0.0966823857916,-0.112467446263,-0.213863562344
52,0.0967637802529,-0.105088042638,-0.213379705435
53,0.0916230018641,-0.111071956359,-0.200728415527
54,0.0990354507241,-0.120063213117,-0.225930822308
55,0.0851098176907,-0.117722149034,-0.219600190299
56,0.0964969940515,-0.117202673402,-0.220174860123
57,0.108685844712,-0.121080491146,-0.225760596401
58,0.0928852636252,-0.113625402192,-0.218387463837
59,0.089988347409,-0.0991702606293,-0.189476249837
60,0.10472778546,-0.123883851546,-0.229195063033
61,0.0917250966941,-0.107476314281,-0.20973400945
62,0.0794074622212,-0.0964412343682,-0.182451117754
63,0.0793272307168,-0.100592020975,-0.183965571146
64,0.0891552303269,-0.110858895529,-0.202162841822
65,0.0882303050614,-0.106512363985,-0.19553774936
66,0.106548952794,-0.118212828455,-0.211458697739
67,0.095308935006,-0.107537094731,-0.213583663577
68,0.0965475689241,-0.124339560795,-0.23196524306
69,0.0801947515228,-0.0862522040482,-0.167390948547
70,0.0835370058253,-0.0955222919991,-0.170955738044
71,0.0913774250999,-0.10586322909,-0.198071803776
72,0.0828120320204,-0.109910150097,-0.214938825519
73,0.0957906945409,-0.110017185173,-0.207378771792
74,0.0914906139011,-0.106703855278,-0.200758787137
75,0.0932718345141,-0.110642560221,-0.20010960928
76,0.0860559812165,-0.10912802668,-0.206692587885
77,0.107314946313,-0.13075395862,-0.248052022648
78,0.0940496569835,-0.109844701843,-0.198034769541
79,0.0927590094169,-0.0967998276191,-0.173878396176
80,0.0955851478099,-0.120640123523,-0.234658712319
81,0.098315018132,-0.111941591754,-0.197453962898
82,0.0856542269768,-0.116348786077,-0.217339889361
83,0.0930202450536,-0.108033194932,-0.204791274253
84,0.0782015585346,-0.100721355296,-0.199039944483
85,0.0818660409176,-0.0979980464385,-0.179409190375
86,0.0948026999305,-0.114202534914,-0.220656669806
87,0.0982266187252,-0.112372948786,-0.210432611762
88,0.0935566316091,-0.10654965459,-0.213119518594
89,0.0924643633766,-0.10223448616,-0.186719601647
90,0.0958778892481,-0.114869741477,-0.212755317528
91,0.0824891691101,-0.100537356234,-0.191714348187
92,0.10199860753,-0.122489373859,-0.226066224229
93,0.0959779491744,-0.108724705841,-0.212028564492
94,0.090128832959,-0.112550077192,-0.204226020722
95,0.0995917253401,-0.11124022974,-0.212352071504
96,0.0810670868898,-0.0997454167004,-0.180700508265
97,0.0899471929653,-0.10688921587,-0.203305523691
98,0.0942710917243,-0.125999911589,-0.225746412925
99,0.0931818426814,-0.120905324882,-0.217889063804
100,0.0891241985123,-0.108660332176,-0.212086751293
101,0.106893194726,-0.11552966724,-0.20688408775
102,0.0893676467369,-0.105175654162,-0.203066292474
103,0.09883266768,-0.12564935679,-0.228230509056
104,0.0944842670285,-0.114626637939,-0.208968989902
105,0.0872602696416,-0.104213232556,-0.196153022173
106,0.0980233517,-0.116962787378,-0.215366738028
107,0.0916578450915,-0.106936997771,-0.194054139931
108,0.0873937805744,-0.103980564792,-0.203145627164
109,0.0997903492974,-0.112491453172,-0.204058666777
110,0.0903595118479,-0.0984993127524,-0.180687984018
111,0.10613842817,-0.120032381367,-0.222617746197
112,0.0933501670981,-0.112443816978,-0.213344324078
113,0.0926925514554,-0.121164287148,-0.230779675489
114,0.0849828032762,-0.10091724103,-0.192909101531
115,0.0888749718366,-0.106102897108,-0.194911490789
116,0.0785973358614,-0.096702749195,-0.204367932009
117,0.100423071303,-0.128020622238,-0.22544138071
118,0.0929471345762,-0.111158096353,-0.242963861558
119,0.108318086081,-0.128051525546,-0.228504566311
120,0.0948224163002,-0.114093194131,-0.204070913959
121,0.0785775930112,-0.104699882363,-0.202858064161
122,0.0964266366219,-0.101095609616,-0.172265527858
123,0.101390985832,-0.11048537197,-0.209166122073
124,0.0920625210649,-0.102742456498,-0.201122521273
125,0.0877328247372,-0.10407695754,-0.191352109094
126,0.0868165098876,-0.104945061213,-0.203729253456
127,0.0778521623486,-0.0964086353124,-0.207015136434
128,0.100519928986,-0.119656445806,-0.221730211306
129,0.076479829092,-0.0896198462362,-0.17085383692
130,0.0915926313724,-0.116333615432,-0.229230650954
131,0.0934293898445,-0.104869951972,-0.196951973358
132,0.0899812629889,-0.10815829203,-0.195385101911
133,0.0903227197065,-0.102431621448,-0.183326045454
134,0.101029060546,-0.130932825351,-0.244510578541
135,0.0948087528353,-0.114961998039,-0.210890874869
136,0.0962814375555,-0.104733374431,-0.190886538538
137,0.0915950121254,-0.106764152136,-0.196977228862
138,0.0790207342624,-0.104071025144,-0.196595548404
139,0.084953882146,-0.113577347093,-0.212534751196
140,0.0915440521284,-0.115898565209,-0.209554276568
141,0.100255899692,-0.116244902782,-0.215652165067
142,0.0907123339748,-0.106255169347,-0.203346409611
143,0.101779222265,-0.114233878612,-0.228258052023
144,0.0914738451439,-0.114162362206,-0.218449909599
145,0.0893568599787,-0.107060980642,-0.204949197257
146,0.0982710045775,-0.112470154909,-0.206258364926
147,0.0963631814456,-0.103429685802,-0.196104219862
148,0.0920934849969,-0.109185675394,-0.203010725366
149,0.0948328777168,-0.12154271142,-0.230697083575
150,0.089443232151,-0.105691549902,-0.212866218583
151,0.0795158209302,-0.0993480864819,-0.189357009615
