model,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,brier_multiclass
Elastic-net logistic regression,0.7769784172661871,0.7456024000286461,0.7306743738782235,0.7358350528097619,0.7745129642932623,0.7769784172661871,0.7743722444716347,0.31915505482751755
FacebookAI/roberta-base (HP search + multi-seed),0.8180883864337102,0.7895505649391771,0.768860050774335,0.7744389233180415,0.8191008519383562,0.8180883864337102,0.8146896674723608,0.2937909132385735
