metric,baseline,roberta,delta_roberta_minus_baseline
accuracy,0.7769784172661871,0.8180883864337102,0.041109969167523075
f1_macro,0.7358350528097619,0.7744389233180415,0.038603870508279625
f1_weighted,0.7743722444716347,0.8146896674723608,0.04031742300072616
precision_macro,0.7456024000286461,0.7895505649391771,0.043948164910530996
recall_macro,0.7306743738782235,0.768860050774335,0.03818567689611141
brier_multiclass,0.31915505482751755,0.2937909132385735,-0.025364141588944067
