metric,baseline_score,roberta_score,delta_roberta_minus_baseline,bootstrap_ci95_low,bootstrap_median,bootstrap_ci95_high,permutation_p_two_sided,permutation_p_one_sided_roberta_gt_baseline
accuracy,0.7769784172661871,0.8180883864337102,0.041109969167523075,0.017679138783153248,0.0406884923790084,0.06262458217726605,0.007997334221926024,0.004665111629456847
f1_macro,0.7358350528097619,0.7744389233180415,0.038603870508279625,0.015149243443509052,0.039595809630318,0.06430232664676327,0.014661779406864379,0.007997334221926024
