Method,Behaviour,Faithfulness / Support,Coverage,Specificity,Non-redundancy,Overall Usefulness
Pre-BERTopic KMeans + MMR,Reflection,2.5389823998723715,3.2776808785529714,3.210817448298137,2.133486747741699,2.8086682817833855
Pre-BERTopic KMeans + MMR,Question,2.785663349371331,3.156317204301075,2.883485273520152,3.759883999824524,2.9580843176429292
Pre-BERTopic KMeans + MMR,Therapist Input,3.6670618386410956,2.857689701897019,3.2,2.468663215637207,2.9248404594121644
Pre-BERTopic KMeans + MMR,Other,2.530246764421463,2.7875,1.9022004922231037,3.3009461164474487,2.469057080547015
BERTopic + MMR,Reflection,3.3688822930509397,3.9203389830508475,1.2088826060295106,2.119736909866333,2.6969048482592926
BERTopic + MMR,Question,2.9150044460629307,3.729126213592233,1.3026551008224487,2.2561264038085938,2.5729895570243717
BERTopic + MMR,Therapist Input,3.254411004357419,2.312280701754386,1.0,3.103397488594055,2.31990310003493
BERTopic + MMR,Other,2.4667148897724767,2.3000000000000003,1.0715073704719544,3.632693886756897,2.1901105508112138
