Method,Behaviour,ROUGE-1 F1,ROUGE-2 F1,ROUGE-L F1,BERTScore F1
Pre-BERTopic KMeans + MMR,Reflection,0.15503875968992248,0.06299212598425197,0.13953488372093026,-0.0863586962223053
Pre-BERTopic KMeans + MMR,Question,0.12903225806451615,0.0,0.06451612903225808,-0.1009863093495369
Pre-BERTopic KMeans + MMR,Therapist Input,0.06504065040650407,0.01652892561983471,0.04878048780487805,-0.09629844129085541
Pre-BERTopic KMeans + MMR,Other,0.04878048780487805,0.0,0.04878048780487805,-0.15845318138599396
BERTopic + MMR,Reflection,0.11864406779661017,0.017241379310344827,0.06779661016949154,-0.08304674178361893
BERTopic + MMR,Question,0.07766990291262137,0.0,0.07766990291262137,-0.11801543086767197
BERTopic + MMR,Therapist Input,0.05263157894736841,0.01785714285714286,0.05263157894736841,-0.11307574808597565
BERTopic + MMR,Other,0.04918032786885246,0.0,0.04918032786885246,-0.13994678854942322
