Method,ROUGE-1 F1,ROUGE-2 F1,ROUGE-L F1,BERTScore F1,Faithfulness / Support,Coverage,Specificity,Non-redundancy,Overall Usefulness
BERTopic + MMR,0.0745314693813631,0.008774630541871921,0.06181960497458344,-0.11352117732167244,3.0012531583109414,3.065436474599367,1.1457612693309784,2.7779886722564697,2.4449770140324523
Pre-BERTopic KMeans + MMR,0.09947303899145518,0.01988026290102167,0.07540299709073611,-0.11052415706217289,2.8804885880765654,3.0197969461877663,2.799125803510348,2.9157450199127197,2.7901625348463734
