draw,delta_source_balanced_macro_f1,delta_source_balanced_brier,delta_source_balanced_log_loss
0,0.00293581493387,0.00269491756422,0.0186382793764
1,0.00763796577309,-0.000559780415079,0.0195977885262
2,-0.002230700096,0.01177378833,0.0560460695874
3,0.00683704494883,0.00452865554317,0.0328710022703
4,0.0155809049079,-0.00529153019268,0.0114549479816
5,-0.000774094906808,0.00168960760148,0.0268956670317
6,0.000498589430892,0.0104891206827,0.0507271858284
7,0.00412957390203,0.00644339501246,0.03411021936
8,0.00858719317784,0.0110935383097,0.041927784967
9,0.000854807022198,0.00910966839379,0.0368210366685
10,0.000446313158149,0.00586948556468,0.0363816006481
11,0.0195463419712,-0.0133881881018,0.01655289989
12,0.00907518008631,0.00264371713174,0.0250352890046
13,-0.00307426360811,0.00951845416022,0.0349262428705
14,0.00449274974131,0.007514168013,0.0382986697979
15,0.00836289146112,-0.00356655500869,0.0056709701093
16,0.017199683251,0.000950742524201,0.0235346249259
17,0.0138281921912,0.00699202013714,0.041109794483
18,0.00346975533937,0.00335529573287,0.0323652328868
19,0.0012039456623,1.45206170543e-05,0.0120873613859
20,-0.0022398626446,0.0127675070689,0.0450119812972
21,0.00132042197202,-0.00144825358429,0.0149163867523
22,0.00986408494819,0.00679912917134,0.0302781289354
23,0.0180786485056,-0.00738500184791,0.0158669924937
24,0.00250049923518,0.00764581403235,0.0307567779651
25,0.00382445811565,0.0019362155229,0.0302873323456
26,0.00657364682359,0.00496641019149,0.032630500535
27,0.00602709265684,0.00847418828122,0.0377874310897
28,-0.000125026046489,0.00595626988298,0.0253489909889
29,0.00776669061438,-0.000517022276579,0.0232714091215
30,0.00576481361994,0.00107611255326,0.0350130012874
31,0.00858737285145,0.000546262079294,0.0247290914784
32,0.00907708449995,0.00632455597629,0.0385837939773
33,0.00580952170029,0.00540459996465,0.0299826882217
34,0.0123930104457,-0.000276805246309,0.021559667761
35,0.00236442938576,0.00542148341079,0.0357335230052
36,0.00170321572744,0.0077358788479,0.0331361703311
37,0.00970360967482,0.00378233600861,0.0362298105859
38,0.00594867026722,0.00870665653786,0.0395793109157
39,0.00993682457575,0.0075732441267,0.0327206170016
40,-0.00105178578873,0.0156080976743,0.0429833994168
41,-0.000907147421389,0.00293649422202,0.0239261466484
42,0.00413366208785,0.00990203240198,0.0305464270844
43,0.00342415002285,0.00157611860204,0.0216418484154
44,-0.00118395576898,0.0114960728038,0.042338654158
45,0.00756854999259,0.00384085924481,0.0273405701615
46,0.0042676692734,-0.00110318394854,0.0199730207864
47,0.0112100140771,0.00387668398165,0.0310239829494
48,0.00715385808146,-0.000302981002727,0.0172399913162
49,0.00291756674346,0.00585466700207,0.0325630878738
50,0.000269977767976,0.00193312853952,0.0246011003984
51,0.0122113696685,0.00580563754909,0.0318794264528
52,0.00416805557683,-0.00131428118385,0.0186788077319
53,0.0142967561584,0.00406949677216,0.0393058191084
54,0.00241837782653,0.00787101643692,0.0260247115374
55,0.012302933388,0.00468186278395,0.02844066694
56,0.00428603388759,0.00239524058377,0.0350774329954
57,-0.00247628048601,0.0123907306983,0.0513880601947
58,0.00141404763753,0.00182081397118,0.0202979750442
59,0.00308259783047,0.00696709842732,0.040251221864
60,0.0045177404429,0.00616529390296,0.0286890838931
61,0.00547124092665,0.00543572067105,0.036333396816
62,0.00394171765443,0.00893854601778,0.0386313282412
63,0.00530631414043,0.00693114542175,0.0343311756288
64,0.00707976179238,-0.000217918602898,0.0158666089621
65,0.00604131692846,-0.00113706167679,0.0186651513738
66,0.00232912360502,0.00178613762948,0.0262258605712
67,0.00732239732171,0.000699504022757,0.0261597400333
68,0.00848738847489,0.00831460980627,0.0371348334375
69,0.00521297398262,-0.00246084853193,0.0209567011561
70,0.0115234700709,-0.00780128859502,0.0110874032401
71,0.00427287418873,0.00346686784982,0.0315779719277
72,0.0107221722867,0.00138502681114,0.0343150460102
73,0.0109660969929,0.00282500052148,0.0368961644405
74,0.00963957989931,-0.00343771755839,0.018410866371
75,0.00334345562515,0.00587229470494,0.0265881667691
76,0.00110312145079,0.00442930861805,0.0204340069363
77,0.0086942120425,-0.00231387471919,0.0157365929724
78,0.0125254336614,0.000939074848017,0.0224740392328
79,0.0052247018305,0.00414904019634,0.0368989618987
80,0.0108126060286,0.0107515676212,0.0531829579711
81,0.00903804696082,0.00193409594998,0.0170032678241
82,0.00828093672551,-0.00278388077146,0.0091962470709
83,0.00380560743297,0.00458785348994,0.032021693567
84,0.00327589459499,0.00898977104647,0.0455969243819
85,0.0134869794663,-0.00884894265274,0.00494420722866
86,0.00406066190792,0.00759000122179,0.0438929040931
87,0.0110252416526,-0.00178448223294,0.0239502444519
88,0.00944360707195,0.00385261455917,0.0246334240157
89,0.00136080215533,0.00963685648389,0.0325698603012
90,0.00242920487459,0.0047557351604,0.030457537971
91,5.38771975086e-05,0.00800238427454,0.0370681582178
92,-0.000474129107398,0.00852578889903,0.028963422301
93,0.00291357587706,0.00973755240883,0.0477089852718
94,0.00561308198731,0.010916694996,0.0436202483396
95,-0.0015913251058,0.00595811312132,0.0247121624157
96,0.00339915592872,0.00542388408823,0.0276135111173
97,0.00940171475023,0.00133809139808,0.027424468539
98,0.00839560051102,0.00684696681396,0.0406009637106
99,0.00614813700588,0.000522259834348,0.0215490674961
100,0.00905162617896,0.00190033889491,0.0327003464367
101,-0.000647167582976,0.00552220288112,0.0344160306828
102,0.0135178846971,0.00192767523677,0.0248537555806
103,0.00901225572705,0.00486295858171,0.0325324199887
104,0.00134059929044,0.00717792380058,0.0286926670612
105,0.0040736171101,0.00386273823176,0.0345205273106
106,0.00512079163229,0.0016564497603,0.0219384748483
107,0.0097044991033,-0.000357755360971,0.0274238871689
108,0.0110680748368,0.00085613162912,0.0273707500527
109,0.0121741269789,-0.00137348192441,0.0198825434346
110,0.0194061735359,-0.00392000333674,0.0173550989958
111,0.0011399615012,0.00476451301637,0.0229465661111
112,0.00287230289066,0.00495637647508,0.0209018512054
113,0.00586574619331,0.00416133962884,0.022321658919
114,0.000179288742097,0.00470299972226,0.0311070380193
115,0.00710589638013,0.00763075570001,0.0378417577605
116,0.0134319592302,-0.0016699592887,0.0215058696904
117,-0.00177389800956,0.00873155916722,0.0380817921299
118,0.00856370549506,-0.00372761044202,0.0247557090107
119,-0.00278126889641,0.0091547076669,0.0347050706057
120,0.000600730405818,0.00810449442914,0.0279072810228
121,0.00903119813848,0.00648725591756,0.0326735952552
122,0.00130513126843,0.00984322530669,0.0372966406604
123,0.012999775596,0.00066285562832,0.0232951017029
124,0.00934136000526,0.000691677638679,0.0327783157498
125,0.00291033066875,0.00291837058827,0.0168556270503
126,0.0013395194081,0.0104927637077,0.0451110775218
127,0.00482215721589,0.00390456519894,0.0268483588997
128,0.0166374130478,-0.00564049063813,0.0191118964274
129,0.00793545550243,0.00414908905423,0.0345579598622
130,0.0145747597306,-0.00526160434237,0.0153895875916
131,0.00447272899366,-0.000516099193663,0.033827617241
132,0.00160083602752,0.0131119329278,0.0374072001043
133,0.00908568467869,0.00338657951817,0.0266004704589
134,0.0048624068818,0.00760780257221,0.021416364765
